,frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,0,14.689861,226.76584,92547840.0,2.4552717,2.4552717,673209.9,0.00041609615,0.00042700462,75295096.0,-521038.0,5
1,0,15.386098,192.47426,79487190.0,2.3141205,2.3141205,726275.25,0.00043339224,0.000433506,78005810.0,-286406.0,4
2,0,15.652378,146.56792,105204930.0,2.447433,2.447433,691024.3,0.000378873,0.00038621682,88608776.0,-648290.0,5
3,0,16.275755,112.29127,88827176.0,2.2720377,2.2720377,758745.7,0.00039213494,0.00039214463,90943900.0,-384712.0,4
4,0,16.348522,66.604965,114192620.0,2.4408464,2.4408464,698335.7,0.00035641034,0.0003638273,96042750.0,-631391.0,5
5,0,17.056917,32.222607,92872376.0,2.2526307,2.2526307,760351.0,0.0003747422,0.0003747867,95827050.0,-374353.0,2
6,0,34.00734,229.93022,104912070.0,5.106426,5.106426,160406.64,0.0012953982,0.0020486312,10104159.0,-4612358.0,1000
7,0,49.736145,193.28975,65804040.0,2.2867656,2.2867656,717987.9,0.000490079,0.00049309834,62005908.0,-209990.0,5
8,0,50.585396,113.309364,78759000.0,2.2564793,2.2564793,744202.4,0.00042161913,0.0004226917,80067210.0,-265312.0,4
9,0,51.448578,32.965122,95937510.0,2.311703,2.311703,753470.9,0.00037963578,0.00038082496,92035520.0,-344265.0,4
10,0,57.467167,227.55684,62475216.0,2.3746707,2.3746707,694353.7,0.0005365191,0.00054269575,54425390.0,-315176.0,5
11,0,58.355183,147.60573,77466170.0,2.371421,2.371421,708823.7,0.00045576273,0.00045624425,73316400.0,-368442.0,4
12,0,59.235054,67.28895,88972860.0,2.417559,2.417559,717720.94,0.00042433257,0.00042873542,78489864.0,-340531.0,5
13,0,94.405846,227.6206,73560930.0,2.42369,2.42369,709545.25,0.00049131527,0.00049983535,62414976.0,-422950.0,5
14,0,95.09291,193.27715,68767190.0,2.280473,2.280473,744791.1,0.0004763491,0.0004792275,65097244.0,-183304.0,4
15,0,95.30629,147.63893,92840776.0,2.4308167,2.4308167,714418.6,0.00041452737,0.00042282243,78304940.0,-486747.0,5
16,0,95.94758,113.34243,81458990.0,2.2366714,2.2366714,773458.4,0.0004105847,0.00041069216,84628030.0,-234911.0,3
17,0,96.22116,67.35579,111257816.0,2.4640284,2.4640284,721503.8,0.00037221,0.00037611436,92590720.0,-466044.0,5
18,0,96.84499,33.043266,90565656.0,2.3036027,2.3036027,772244.9,0.00040027304,0.00039768813,87160160.0,-280250.0,4
19,0,129.9516,194.02834,80414260.0,2.2933629,2.2933629,752760.44,0.00042759566,0.0004292544,78539590.0,-385584.0,4
20,0,130.70563,113.94866,92232860.0,2.3281736,2.3281736,750315.6,0.00039445126,0.0003958485,88657576.0,-501675.0,4
21,0,131.49084,33.833534,89477040.0,2.2547727,2.2547727,760850.6,0.00038613516,0.00038669741,89168630.0,-264391.0,4
22,0,137.70518,228.38513,73156104.0,2.4052052,2.4052052,719781.56,0.00048889796,0.0004943094,64651904.0,-452250.0,5
23,0,138.52936,148.28264,84630410.0,2.407823,2.407823,721901.94,0.00043890695,0.00044283445,75467880.0,-563694.0,5
24,0,139.24527,68.0873,87891110.0,2.356512,2.356512,732525.7,0.0004139419,0.0004162468,82343320.0,-435940.0,4
25,0,174.68748,228.41754,83576720.0,2.4451041,2.4451041,728992.1,0.0004546712,0.0004608294,72821510.0,-572534.0,5
26,0,175.23813,194.04208,75751860.0,2.28562,2.28562,767164.6,0.00044737107,0.00044899058,73811590.0,-294744.0,4
27,0,175.51001,148.37227,97172050.0,2.4759624,2.4759624,725885.9,0.00041379477,0.00041927883,83132930.0,-669247.0,5
28,0,176.06857,113.991905,84250010.0,2.3049173,2.3049173,771493.25,0.00041856754,0.00042013123,81860290.0,-374375.0,4
29,0,176.26375,68.1476,99979070.0,2.419035,2.419035,731468.9,0.00039114367,0.0003942863,89743650.0,-594114.0,5
30,0,176.82274,33.866657,81010850.0,2.2532132,2.2532132,762564.6,0.00041545017,0.00041632992,80569610.0,-213387.0,4
31,0,209.44855,194.93384,82249570.0,2.2969453,2.2969453,765619.06,0.00042343515,0.00042449753,80130450.0,-386168.0,4
32,0,210.58795,114.91927,86253190.0,2.3020136,2.3020136,762511.1,0.00040973435,0.00041054937,82744130.0,-349321.0,4
33,0,211.29701,34.558666,82929250.0,2.235558,2.235558,766591.6,0.00040400843,0.00040423332,86155530.0,-488331.0,4
34,0,217.28117,229.19511,72338800.0,2.4043264,2.4043264,739026.0,0.0004961857,0.00049989286,65636030.0,-493117.0,5
