,Unnamed: 0,frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
68,68,0,450.6354,37.82463,90299990.0,2.2722578,2.2722578,903034.4,0.00040054455,0.00040549223,89114110.0,-238415.0,4
69,69,0,456.56593,231.6054,87425300.0,2.330637,2.330637,879281.75,0.00042568916,0.00042864028,83886400.0,-444886.0,4
70,70,0,457.91684999999995,151.71113,83262460.0,2.337319,2.337319,873967.44,0.00044574868,0.00044652817,80398670.0,-369044.0,4
71,71,0,458.60022999999995,71.938216,84330090.0,2.3287184,2.3287184,873021.1,0.00043932092,0.00044036336,79553870.0,-242744.0,4
72,72,0,493.4959,231.64131,86511150.0,2.3804443,2.3804443,847255.44,0.00044242514,0.00044229956,80509736.0,-484389.0,4
73,73,0,493.87016,197.4092,77819864.0,2.2687535,2.2687535,882652.9,0.000449754,0.0004498437,78952584.0,-239031.0,4
74,74,0,494.83804999999995,151.76454,82477850.0,2.3600492,2.3600492,855199.7,0.00045321524,0.00045415887,78873544.0,-394953.0,4
75,75,0,495.07993,117.62534,73729470.0,2.291771,2.291771,881121.3,0.0004759891,0.00047655337,73592000.0,-217892.0,4
76,76,0,495.49757,72.01485,84555144.0,2.3579721,2.3579721,853587.9,0.00044462644,0.00044589883,77732550.0,-284248.0,4
77,77,0,495.8114,37.89313,72845120.0,2.2940083,2.2940083,876894.0,0.00048081606,0.00048191292,70959144.0,-209079.0,4
